Number of epochs: 500
Batch size: 100
Start Date: 2024-10-10_2204
Epoch, Test Loss, Training Loss
0,37.9249954,54.0678482
1,20.8465691,57.4215813
2,9.1600933,37.3624763
3,4.8519182,19.3855324
4,3.7071986,6.0747209
5,2.7608004,1.9308215
6,2.4908104,1.6052128
7,2.5153430,1.2647575
8,4.1182494,1.2699050
9,3.3444078,3.3525271
10,3.4121006,0.9440835
11,2.8338521,1.0858748
12,3.1997485,0.9743280
13,2.9646561,1.1245719
14,2.8311934,1.0616608
15,1.5260210,0.9664968
16,2.3334906,1.1324750
17,2.4583249,0.7869393
18,2.1972599,0.6886860
19,3.0026693,0.9589412
20,0.9390181,0.4651681
21,1.5449814,0.7034160
22,2.2866287,0.6886778
23,1.6877720,0.6149685
24,2.3060992,1.0763060
25,1.9907310,0.4893990
26,2.9446948,0.6573559
27,1.1309435,0.4865759
28,0.8920234,0.2650500
29,0.7838541,0.4290226
30,0.6950291,0.5031047
31,0.7158109,0.4908694
32,1.1325079,0.7668920
33,1.0659178,0.4008068
34,1.2406790,0.5478750
35,1.4305463,0.5527716
36,1.2566547,1.2913234
37,0.5943416,0.1531054
38,0.5856707,0.2762125
39,0.6440720,0.3945552
40,0.5430679,0.3923299
41,0.6347445,0.4046918
42,2.4676292,0.8401254
43,0.5397986,0.3509583
44,0.4308016,0.4792849
45,0.5070257,0.2144845
46,0.5438734,0.3206228
47,1.2524010,0.2150889
48,0.4106016,0.3124628
49,0.4753034,0.5080935
50,1.7365341,1.0588464
51,1.3912432,0.4609192
52,0.4592281,0.4000539
53,0.3900727,0.1622322
54,0.4539299,0.4212719
55,0.5543067,0.6027103
56,0.5195518,0.4592731
57,0.4491632,0.2001271
58,1.0121706,0.3105461
59,1.2583482,0.2096183
60,0.4467197,0.1426156
61,1.8794508,0.4136815
62,0.6031013,0.1088914
63,0.3780451,0.4504357
64,0.5132385,0.3464561
65,0.3389067,0.2068297
66,0.4367256,0.2381451
67,0.4712835,0.3724289
68,0.3804898,0.1793125
