Number of epochs: 500
Batch size: 100
Start Date: 2024-10-10_2137
Epoch, Test Loss, Training Loss
0,0.0673077,0.0755745
1,0.0424847,0.0327090
2,0.0448105,0.0259621
3,0.0395644,0.0245822
4,0.0397937,0.0239480
5,0.0340691,0.0297845
6,0.0397486,0.0223399
7,0.0256279,0.0183431
8,0.0176982,0.0180029
9,0.0191619,0.0268263
10,0.0241813,0.0157211
11,0.0204839,0.0357977
12,0.0139366,0.0161337
13,0.0133205,0.0137777
14,0.0184305,0.0186709
15,0.0139290,0.0093768
16,0.0119606,0.0104651
17,0.0087987,0.0100656
18,0.0091403,0.0113787
19,0.0082729,0.0096809
20,0.0097112,0.0122812
21,0.0101542,0.0080073
22,0.0083966,0.0070704
23,0.0061140,0.0065581
24,0.0100300,0.0042836
25,0.0087781,0.0054808
26,0.0067412,0.0057595
27,0.0070730,0.0042409
28,0.0066006,0.0042402
29,0.0069579,0.0044280
30,0.0051438,0.0046900
31,0.0084087,0.0041667
32,0.0048891,0.0043099
33,0.0103632,0.0062604
34,0.0057314,0.0034288
35,0.0123573,0.0058680
36,0.0047016,0.0030444
37,0.0048625,0.0028595
38,0.0060242,0.0040127
39,0.0053141,0.0032986
40,0.0197050,0.0109838
41,0.0104451,0.0066864
42,0.0052544,0.0025395
43,0.0057416,0.0026567
44,0.0102348,0.0092211
45,0.0088458,0.0094969
46,0.0087491,0.0116761
47,0.0086181,0.0062304
48,0.0071594,0.0021153
49,0.0058901,0.0046899
50,0.0047611,0.0027465
51,0.0076964,0.0041444
52,0.0135100,0.0045976
53,0.0132506,0.0034913
54,0.0067046,0.0047482
55,0.0090321,0.0044803
56,0.0084295,0.0036337
57,0.0081991,0.0024743
58,0.0064600,0.0025708
59,0.0179047,0.0032478
60,0.0056389,0.0017745
61,0.0103476,0.0047919
62,0.0054001,0.0022092
63,0.0062655,0.0023798
64,0.0047882,0.0027117
65,0.0123411,0.0025408
66,0.0081789,0.0032571
67,0.0072432,0.0020985
68,0.0080730,0.0079889
69,0.0070085,0.0032832
70,0.0092760,0.0028493
71,0.0071394,0.0019607
72,0.0064681,0.0043282
73,0.0078325,0.0037105
74,0.0088124,0.0029795
75,0.0081502,0.0019870
76,0.0083992,0.0030384
77,0.0097294,0.0016077
78,0.0057272,0.0015689
79,0.0082811,0.0023849
80,0.0087455,0.0018314
81,0.0084689,0.0033889
82,0.0094296,0.0019203
83,0.0059771,0.0015674
84,0.0089442,0.0019722
85,0.0068912,0.0017332
86,0.0096551,0.0032448
87,0.0079830,0.0015269
88,0.0041111,0.0014804
89,0.0065041,0.0015535
90,0.0049427,0.0017004
91,0.0069917,0.0018206
92,0.0063412,0.0015431
93,0.0053019,0.0013752
94,0.0051040,0.0018091
95,0.0032753,0.0016714
96,0.0034686,0.0015863
97,0.0051762,0.0012650
98,0.0030096,0.0016208
99,0.0039123,0.0019366
100,0.0033028,0.0015471
101,0.0030903,0.0016414
102,0.0036325,0.0019725
103,0.0078555,0.0043838
104,0.0061654,0.0016683
105,0.0056956,0.0012515
106,0.0042267,0.0015232
107,0.0048072,0.0012755
108,0.0056516,0.0039496
109,0.0074656,0.0016480
110,0.0055935,0.0020186
111,0.0043066,0.0018170
112,0.0034903,0.0012489
113,0.0043303,0.0012318
114,0.0038212,0.0014622
115,0.0049555,0.0016945
116,0.0051212,0.0012344
117,0.0039437,0.0014362
118,0.0030882,0.0011456
119,0.0037338,0.0009672
120,0.0040803,0.0019201
121,0.0038075,0.0020581
122,0.0033913,0.0014011
123,0.0044866,0.0013013
124,0.0039623,0.0026861
125,0.0042607,0.0019665
126,0.0038952,0.0015409
127,0.0032590,0.0010339
128,0.0039608,0.0011703
129,0.0067247,0.0033131
130,0.0300334,0.0084973
131,0.0062236,0.0013157
132,0.0041416,0.0022462
133,0.0038752,0.0013521
134,0.0037624,0.0015049
135,0.0035093,0.0019142
136,0.0063709,0.0010386
137,0.0037527,0.0016380
138,0.0057750,0.0016012
139,0.0046177,0.0020891
140,0.0052369,0.0017828
141,0.0035184,0.0019557
142,0.0032444,0.0012684
143,0.0036549,0.0022959
144,0.0040720,0.0017061
145,0.0043269,0.0017445
146,0.0032086,0.0012434
147,0.0039978,0.0017169
148,0.0051657,0.0010497
149,0.0042194,0.0015691
150,0.0055065,0.0022418
151,0.0062798,0.0010568
152,0.0034411,0.0021202
153,0.0035256,0.0014507
154,0.0043616,0.0016895
155,0.0045509,0.0024209
156,0.0033545,0.0025893
157,0.0044233,0.0013570
158,0.0031955,0.0013457
159,0.0047247,0.0012768
160,0.0058170,0.0024216
161,0.0062619,0.0020451
162,0.0033245,0.0011000
163,0.0039379,0.0018167
164,0.0038143,0.0016975
165,0.0034695,0.0012087
166,0.0034335,0.0015613
167,0.0043031,0.0011606
168,0.0038629,0.0014266
169,0.0034641,0.0008689
170,0.0028222,0.0017338
171,0.0038272,0.0012285
172,0.0037880,0.0017829
173,0.0325733,0.0046453
174,0.0031898,0.0015595
175,0.0041737,0.0020274
176,0.0030858,0.0013855
177,0.0039251,0.0010918
178,0.0043875,0.0011024
179,0.0046075,0.0035800
180,0.0032593,0.0012246
181,0.0029661,0.0014358
182,0.0036432,0.0011794
183,0.0053422,0.0013317
184,0.0042906,0.0009666
185,0.0053309,0.0015406
186,0.0043137,0.0016982
187,0.0048472,0.0018545
188,0.0052015,0.0011471
189,0.0049724,0.0015818
190,0.0034803,0.0025079
