Number of epochs: 500
Batch size: 100
Start Date: 2024-10-10_2153
Epoch, Test Loss, Training Loss
0,0.2193781,0.0985242
1,0.0796331,0.0894315
2,0.0582079,0.0821295
3,0.0488122,0.0688716
4,0.0418750,0.0677483
5,0.0347146,0.0654428
6,0.0358079,0.0516286
7,0.0300685,0.0472887
8,0.0259556,0.0400998
9,0.0312359,0.0386379
10,0.0367624,0.0349611
11,0.0235815,0.0312099
12,0.0228660,0.0255125
13,0.0177862,0.0189080
14,0.0201869,0.0213074
15,0.0140606,0.0175936
16,0.0148387,0.0190448
17,0.0301201,0.0144130
18,0.0153770,0.0168222
19,0.0130167,0.0120369
20,0.0202985,0.0124443
21,0.0171979,0.0118422
22,0.0104424,0.0103591
23,0.0152458,0.0082522
24,0.0096777,0.0080078
25,0.0112874,0.0079086
26,0.0099326,0.0070214
27,0.0109955,0.0054606
28,0.0167851,0.0118971
29,0.0110915,0.0061315
30,0.0101229,0.0051254
31,0.0091029,0.0059394
32,0.0055946,0.0056513
33,0.0062021,0.0044641
34,0.0109359,0.0062144
35,0.0062225,0.0026760
36,0.0065343,0.0032425
37,0.0060104,0.0029441
38,0.0057843,0.0023975
39,0.0119275,0.0039454
40,0.0050957,0.0019464
41,0.0043550,0.0022312
42,0.0053751,0.0032557
43,0.0061101,0.0040963
44,0.0047918,0.0021457
45,0.0051204,0.0029904
46,0.0172291,0.0097827
47,0.0055690,0.0020074
48,0.0057027,0.0021140
49,0.0067149,0.0029963
50,0.0070035,0.0019534
51,0.0066943,0.0031585
52,0.0055580,0.0022122
53,0.0119593,0.0045135
54,0.0101609,0.0061269
55,0.0055897,0.0027859
56,0.0047166,0.0018551
57,0.0048531,0.0024509
58,0.0077433,0.0022040
59,0.0066859,0.0030726
60,0.0036107,0.0021089
61,0.0047191,0.0024494
62,0.0039090,0.0018684
63,0.0049380,0.0021230
64,0.0078095,0.0017467
65,0.0038861,0.0019057
66,0.0037848,0.0016139
67,0.0049536,0.0022372
68,0.0048665,0.0015435
69,0.0048631,0.0020824
70,0.0051906,0.0021950
71,0.0031713,0.0015392
72,0.0066599,0.0014459
73,0.0035330,0.0023469
74,0.0035444,0.0020115
75,0.0054548,0.0027944
76,0.0030416,0.0015856
77,0.0061357,0.0048239
78,0.0071595,0.0081805
79,0.0027503,0.0019049
80,0.0051421,0.0024879
81,0.0038328,0.0020907
82,0.0026372,0.0017778
83,0.0028770,0.0025852
84,0.0032111,0.0013286
85,0.0022057,0.0009936
86,0.0053797,0.0040425
87,0.0023047,0.0014986
88,0.0063493,0.0021085
89,0.0033201,0.0019472
90,0.0031033,0.0012520
91,0.0028405,0.0012893
92,0.0031156,0.0029530
93,0.0024306,0.0016080
94,0.0039605,0.0013642
95,0.0033402,0.0008259
96,0.0067436,0.0025647
97,0.0020004,0.0008717
98,0.0042472,0.0013125
99,0.0029828,0.0010710
100,0.0030392,0.0012992
101,0.0029303,0.0014300
102,0.0025770,0.0009622
103,0.0031369,0.0011782
104,0.0026471,0.0027678
105,0.0031256,0.0027567
106,0.0023508,0.0016056
107,0.0057478,0.0018528
108,0.0020795,0.0012533
109,0.0033173,0.0013335
110,0.0038215,0.0029370
111,0.0029697,0.0019936
112,0.0028152,0.0016481
113,0.0036063,0.0011715
114,0.0022259,0.0014289
115,0.0038352,0.0019166
116,0.0020827,0.0009221
117,0.0022899,0.0010339
118,0.0029191,0.0014824
119,0.0027776,0.0018085
120,0.0025411,0.0009874
121,0.0025984,0.0009773
122,0.0026043,0.0012252
123,0.0028354,0.0020202
124,0.0040416,0.0010071
125,0.0056420,0.0083403
126,0.0031638,0.0017993
127,0.0031491,0.0014132
128,0.0023030,0.0012012
129,0.0023454,0.0013355
130,0.0021988,0.0013780
131,0.0019279,0.0015344
132,0.0024076,0.0009812
133,0.0024556,0.0009129
134,0.0023745,0.0011957
135,0.0045551,0.0014624
136,0.0024176,0.0015057
137,0.0024655,0.0012850
138,0.0024994,0.0013677
139,0.0025500,0.0009616
140,0.0031998,0.0011822
141,0.0029258,0.0016411
142,0.0025609,0.0008453
143,0.0022237,0.0009853
144,0.0023211,0.0015622
145,0.0023935,0.0006833
146,0.0023920,0.0009055
147,0.0033515,0.0016926
148,0.0021487,0.0010144
149,0.0023223,0.0011775
150,0.0024049,0.0009615
151,0.0019989,0.0011081
152,0.0019118,0.0015150
153,0.0020265,0.0012236
154,0.0024111,0.0013550
155,0.0103955,0.0022560
156,0.0030212,0.0007625
157,0.0021552,0.0005424
158,0.0040151,0.0016512
159,0.0023013,0.0009645
160,0.0022396,0.0011661
161,0.0024228,0.0016101
162,0.0038421,0.0013370
163,0.0021368,0.0016006
164,0.0027651,0.0013017
165,0.0021769,0.0010720
166,0.0045678,0.0025095
167,0.0021510,0.0008069
168,0.0023790,0.0007663
169,0.0019228,0.0006387
170,0.0026583,0.0012939
